time,pos_x,pos_y,pos_z,quat_w,quat_x,quat_y,quat_z,vel_x,vel_y,vel_z,pos_error,quat_error
1746279637.3659966,-2.060769557952881,8.060565948486328,2.455082893371582,0.9807918220523997,0.1891561681613498,0.02286138890465637,0.041769638961800554,0.016193881630897522,0.5738813281059265,-0.03490046039223671,0.09684379049637497,1.3994470616667467
1746279637.4364102,-2.0605759620666504,8.06611156463623,2.4547338485717773,0.9817765567169437,0.18489332121909555,0.022714996377331823,0.03759363495555934,0.02251368947327137,0.5352028012275696,-0.034932952374219894,0.10044506271626062,1.4025644334744445
1746279637.4926126,-2.0603203773498535,8.071274757385254,2.4543848037719727,0.9827549953695105,0.18045881695127186,0.02254890316316013,0.03344819018959126,0.02859462983906269,0.49744686484336853,-0.034845851361751556,0.10392008992912279,1.4057944765234844
1746279637.5483708,-2.060004949569702,8.076064109802246,2.4540374279022217,0.9837230631749738,0.17586389727775956,0.022368189541156113,0.02933408782585461,0.03444194421172142,0.460644394159317,-0.03462943062186241,0.10723292781004405,1.4091280650880094
1746279637.6040425,-2.0596320629119873,8.080491065979004,2.453692674636841,0.9846767531044444,0.17112042934546776,0.02217723155953138,0.025251949561701372,0.04006221145391464,0.4248240888118744,-0.03427576646208763,0.11035924524871062,1.4125557073295854
1746279637.6534932,-2.0592041015625,8.084564208984375,2.453352212905884,0.9856121669909236,0.16624082808130394,0.021979708251723278,0.02120225892369219,0.04546314850449562,0.39001238346099854,-0.03377869352698326,0.11327950884318778,1.4160676150151454
1746279637.7033637,-2.0587234497070312,8.088294982910156,2.4530177116394043,0.9865255506477281,0.1612380028358941,0.021778604126048873,0.017185364791298455,0.050653405487537384,0.3562333285808563,-0.033133815973997116,0.11598182173167129,1.4196537544519032
1746279637.750377,-2.0581917762756348,8.091692924499512,2.452690601348877,0.9874133381128384,0.15612522726124067,0.021576228551547123,0.013201495785662935,0.05564237758517265,0.32350844144821167,-0.032338421791791916,0.11845697290627331,1.423303950444259
1746279637.82155,-2.0576109886169434,8.094769477844238,2.452371835708618,0.9882721903341165,0.15091601267423638,0.02137423851808733,0.009250776102009122,0.06044000759720802,0.29185670614242554,-0.031391486525535583,0.12070096094919049,1.4270079850344257
1746279637.863366,-2.056983470916748,8.097535133361816,2.4520633220672607,0.989099014978343,0.14562407325294363,0.02117367241792502,0.005333240518817228,0.06505661457777023,0.2612944543361664,-0.030293546617031097,0.12271162654310452,1.4307556285687393
1746279637.935527,-2.0563106536865234,8.09999942779541,2.4517664909362793,0.9898909984486226,0.14026319019307934,0.020974973276072697,0.0014488489628830818,0.06950269639492035,0.23183538019657135,-0.029046647250652313,0.12448793786794386,1.4345367404165972
1746279637.9736185,-2.0555942058563232,8.10217571258545,2.4514827728271484,0.9906456182213677,0.13484717380552252,0.020778036365354483,-0.002402502917226403,0.07378879934549332,0.2034904658794403,-0.027654213830828667,0.126033778407543,1.438341297949877
1746279638.0353265,-2.054835557937622,8.104073524475098,2.451213836669922,0.9913606641106653,0.12938973950655772,0.02058223821971795,-0.0062209673164725175,0.07792532444000244,0.17626796662807465,-0.026120971888303757,0.12735119411873655,1.4421594842117773
1746279638.1034136,-2.0540363788604736,8.105704307556152,2.450960874557495,0.9920342404474604,0.12390448699901561,0.020386494417744375,-0.010006734067450826,0.08192243427038193,0.15017351508140564,-0.024452803656458855,0.12844518947957537,1.445981700920237
1746279638.1664708,-2.0531976222991943,8.10707950592041,2.4507253170013428,0.9926647801841662,0.1184047653972232,0.020189293992364153,-0.013760018940374397,0.08578985929489136,0.12521003186702728,-0.022656656801700592,0.1293213129807498,1.4497986595056298
1746279638.229244,-2.052320957183838,8.108210563659668,2.4505083560943604,0.9932510380938571,0.11290366613847941,0.01998875394130668,-0.017481052995750226,0.08953684568405151,0.10137785971164703,-0.020740440115332603,0.1299862741394594,1.453601381024654
