elapsed time,timestamp,topic,value
16.298000000000002,1746018915.098000000,/flightmare_control/control_delay_ms.data,53.211212158203125
16.322,1746018915.122000000,/flightmare_control/control_delay_ms.data,23.34761619567871
16.339,1746018915.139000000,/flightmare_control/control_delay_ms.data,30.501365661621094
16.339,1746018915.139000000,/flightmare_control/control_delay_ms.data,16.242504119873047
16.374,1746018915.174000000,/flightmare_control/control_delay_ms.data,20.163297653198242
16.398,1746018915.198000000,/flightmare_control/control_delay_ms.data,21.11959457397461
16.425,1746018915.225000000,/flightmare_control/control_delay_ms.data,19.50526237487793
16.455,1746018915.255000000,/flightmare_control/control_delay_ms.data,20.220518112182617
16.469,1746018915.269000000,/flightmare_control/control_delay_ms.data,33.9961051940918
16.469,1746018915.269000000,/flightmare_control/control_delay_ms.data,18.266677856445312
16.51,1746018915.310000000,/flightmare_control/control_delay_ms.data,28.331995010375977
16.558,1746018915.358000000,/flightmare_control/control_delay_ms.data,25.132417678833008
16.572,1746018915.372000000,/flightmare_control/control_delay_ms.data,19.602537155151367
16.572,1746018915.372000000,/flightmare_control/control_delay_ms.data,21.981239318847656
16.596,1746018915.396000000,/flightmare_control/control_delay_ms.data,14.947652816772461
16.656,1746018915.456000000,/flightmare_control/control_delay_ms.data,43.775081634521484
16.671,1746018915.471000000,/flightmare_control/control_delay_ms.data,24.675369262695312
16.671,1746018915.471000000,/flightmare_control/control_delay_ms.data,18.85199546813965
16.722,1746018915.522000000,/flightmare_control/control_delay_ms.data,27.47035026550293
16.736,1746018915.536000000,/flightmare_control/control_delay_ms.data,30.907154083251953
16.753,1746018915.553000000,/flightmare_control/control_delay_ms.data,33.525943756103516
16.809,1746018915.609000000,/flightmare_control/control_delay_ms.data,26.987314224243164
16.927,1746018915.727000000,/flightmare_control/control_delay_ms.data,100.34036636352539
16.927,1746018915.727000000,/flightmare_control/control_delay_ms.data,30.658245086669922
16.939,1746018915.739000000,/flightmare_control/control_delay_ms.data,29.438257217407227
16.961,1746018915.761000000,/flightmare_control/control_delay_ms.data,12.69078254699707
16.993,1746018915.793000000,/flightmare_control/control_delay_ms.data,31.880617141723633
17.021,1746018915.821000000,/flightmare_control/control_delay_ms.data,13.207435607910156
